Category,Instance Type,vCPUs,Memory (GiB),Platform CPU Name,Platform Embedded Emissions (mtCo2eq)
General Purpose,t4g.large,2,8,AWS Graviton2 Processor,0.88
General Purpose,t4g.xlarge,4,16,AWS Graviton2 Processor,0.88
General Purpose,t4g.2xlarge,8,32,AWS Graviton2 Processor,0.88
Compute Optimized,c5.large,2,4,Intel Xeon Platinum 8124M,0.81
Compute Optimized,c5.xlarge,4,8,Intel Xeon Platinum 8124M,0.81
Compute Optimized,c5.2xlarge,8,16,Intel Xeon Platinum 8124M,0.81
Compute Optimized,c5.4xlarge,16,32,Intel Xeon Platinum 8124M,0.81
Compute Optimized,c5.9xlarge,36,72,Intel Xeon Platinum 8124M,0.81
Compute Optimized,c5.12xlarge,48,96,2nd Gen Intel Xeon Platinum 8275CL,0.82
Compute Optimized,c5.18xlarge,72,144,Intel Xeon Platinum 8124M,0.81
Compute Optimized,c5.24xlarge,96,192,2nd Gen Intel Xeon Platinum 8275CL,0.82
Compute Optimized,c5.metal,96,192,2nd Gen Intel Xeon Platinum 8275CL,0.82
Compute Optimized,c5a.large,2,4,2nd Gen AMD EPYC 7R32,0.81
Compute Optimized,c5a.xlarge,4,8,2nd Gen AMD EPYC 7R32,0.81
Compute Optimized,c5a.2xlarge,8,16,2nd Gen AMD EPYC 7R32,0.81
Compute Optimized,c5a.4xlarge,16,32,2nd Gen AMD EPYC 7R32,0.81
Compute Optimized,c5a.8xlarge,32,64,2nd Gen AMD EPYC 7R32,0.81
Compute Optimized,c5a.12xlarge,48,96,2nd Gen AMD EPYC 7R32,0.81
Compute Optimized,c5a.16xlarge,64,128,2nd Gen AMD EPYC 7R32,0.81
Compute Optimized,c5a.24xlarge,96,192,2nd Gen AMD EPYC 7R32,0.81
Compute Optimized,c5ad.large,2,4,2nd Gen AMD EPYC 7R32,1
Compute Optimized,c5ad.xlarge,4,8,2nd Gen AMD EPYC 7R32,1
Compute Optimized,c5ad.2xlarge,8,16,2nd Gen AMD EPYC 7R32,1
Compute Optimized,c5ad.4xlarge,16,32,2nd Gen AMD EPYC 7R32,1
Compute Optimized,c5ad.8xlarge,32,64,2nd Gen AMD EPYC 7R32,1
Compute Optimized,c5ad.12xlarge,48,96,2nd Gen AMD EPYC 7R32,1
Compute Optimized,c5ad.16xlarge,64,128,2nd Gen AMD EPYC 7R32,1
Compute Optimized,c5ad.24xlarge,96,192,2nd Gen AMD EPYC 7R32,1
Compute Optimized,c5d.large,2,4,Intel Xeon Platinum 8124M,0.89
Compute Optimized,c5d.xlarge,4,8,Intel Xeon Platinum 8124M,0.89
Compute Optimized,c5d.2xlarge,8,16,Intel Xeon Platinum 8124M,0.89
Compute Optimized,c5d.4xlarge,16,32,Intel Xeon Platinum 8124M,0.89
Compute Optimized,c5d.9xlarge,36,72,Intel Xeon Platinum 8124M,0.89
Compute Optimized,c5d.12xlarge,48,96,2nd Gen Intel Xeon Platinum 8275CL,1
Compute Optimized,c5d.18xlarge,72,144,Intel Xeon Platinum 8124M,0.89
Compute Optimized,c5d.24xlarge,96,192,2nd Gen Intel Xeon Platinum 8275CL,1
Compute Optimized,c5d.metal,96,192,2nd Gen Intel Xeon Platinum 8275CL,1
Compute Optimized,c5n.large,2,5.25,Intel Xeon Platinum 8124M,0.81
Compute Optimized,c5n.xlarge,4,10.5,Intel Xeon Platinum 8124M,0.81
Compute Optimized,c5n.2xlarge,8,21,Intel Xeon Platinum 8124M,0.81
Compute Optimized,c5n.4xlarge,16,42,Intel Xeon Platinum 8124M,0.81
Compute Optimized,c5n.9xlarge,36,96,Intel Xeon Platinum 8124M,0.81
Compute Optimized,c5n.18xlarge,72,192,Intel Xeon Platinum 8124M,0.81
Compute Optimized,c5n.metal,72,192,Intel Xeon Platinum 8124M,0.81
Compute Optimized,c6a.large,2,4,AMD EPYC 7R13,1.2
Compute Optimized,c6a.xlarge,4,8,AMD EPYC 7R13,1.2
Compute Optimized,c6a.2xlarge,8,16,AMD EPYC 7R13,1.2
Compute Optimized,c6a.4xlarge,16,32,AMD EPYC 7R13,1.2
Compute Optimized,c6a.8xlarge,32,64,AMD EPYC 7R13,1.2
Compute Optimized,c6a.12xlarge,48,96,AMD EPYC 7R13,1.2
Compute Optimized,c6a.16xlarge,64,128,AMD EPYC 7R13,1.2
Compute Optimized,c6a.24xlarge,96,192,AMD EPYC 7R13,1.2
Compute Optimized,c6a.32xlarge,128,256,AMD EPYC 7R13,1.2
Compute Optimized,c6a.48xlarge,192,384,AMD EPYC 7R13,1.2
Compute Optimized,c6a.metal,192,384,AMD EPYC 7R13,1.2
Compute Optimized,c6g.medium,1,2,AWS Graviton2 Processor,0.65
Compute Optimized,c6g.large,2,4,AWS Graviton2 Processor,0.65
Compute Optimized,c6g.xlarge,4,8,AWS Graviton2 Processor,0.65
Compute Optimized,c6g.2xlarge,8,16,AWS Graviton2 Processor,0.65
Compute Optimized,c6g.4xlarge,16,32,AWS Graviton2 Processor,0.65
Compute Optimized,c6g.8xlarge,32,64,AWS Graviton2 Processor,0.65
Compute Optimized,c6g.12xlarge,48,96,AWS Graviton2 Processor,0.65
Compute Optimized,c6g.16xlarge,64,128,AWS Graviton2 Processor,0.65
Compute Optimized,c6g.metal,64,128,AWS Graviton2 Processor,0.65
Compute Optimized,c6gd.medium,1,2,AWS Graviton2 Processor,0.8
Compute Optimized,c6gd.large,2,4,AWS Graviton2 Processor,0.8
Compute Optimized,c6gd.xlarge,4,8,AWS Graviton2 Processor,0.8
Compute Optimized,c6gd.2xlarge,8,16,AWS Graviton2 Processor,0.8
Compute Optimized,c6gd.4xlarge,16,32,AWS Graviton2 Processor,0.8
Compute Optimized,c6gd.8xlarge,32,64,AWS Graviton2 Processor,0.8
Compute Optimized,c6gd.12xlarge,48,96,AWS Graviton2 Processor,0.8
Compute Optimized,c6gd.16xlarge,64,128,AWS Graviton2 Processor,0.8
Compute Optimized,c6gd.metal,64,128,AWS Graviton2 Processor,0.8
Compute Optimized,c6gn.medium,1,2,AWS Graviton2 Processor,0.65
Compute Optimized,c6gn.large,2,4,AWS Graviton2 Processor,0.65
Compute Optimized,c6gn.xlarge,4,8,AWS Graviton2 Processor,0.65
Compute Optimized,c6gn.2xlarge,8,16,AWS Graviton2 Processor,0.65
Compute Optimized,c6gn.4xlarge,16,32,AWS Graviton2 Processor,0.65
Compute Optimized,c6gn.8xlarge,32,64,AWS Graviton2 Processor,0.65
Compute Optimized,c6gn.12xlarge,48,96,AWS Graviton2 Processor,0.65
Compute Optimized,c6gn.16xlarge,64,128,AWS Graviton2 Processor,0.65
Compute Optimized,c6i.large,2,4,Intel Xeon Ice Lake,0.9
Compute Optimized,c6i.xlarge,4,8,Intel Xeon Ice Lake,0.9
Compute Optimized,c6i.2xlarge,8,16,Intel Xeon Ice Lake,0.9
Compute Optimized,c6i.4xlarge,16,32,Intel Xeon Ice Lake,0.9
Compute Optimized,c6i.8xlarge,32,64,Intel Xeon Ice Lake,0.9
Compute Optimized,c6i.12xlarge,48,96,Intel Xeon Ice Lake,0.9
Compute Optimized,c6i.16xlarge,64,128,Intel Xeon Ice Lake,0.9
Compute Optimized,c6i.24xlarge,96,192,Intel Xeon Ice Lake,0.9
Compute Optimized,c6i.32xlarge,128,256,Intel Xeon Ice Lake,0.9
Compute Optimized,c6i.metal,128,256,Intel Xeon Ice Lake,0.9
Compute Optimized,c6id.large,2,4,Intel Xeon Ice Lake,1.2
Compute Optimized,c6id.xlarge,4,8,Intel Xeon Ice Lake,1.2
Compute Optimized,c6id.2xlarge,8,16,Intel Xeon Ice Lake,1.2
Compute Optimized,c6id.4xlarge,16,32,Intel Xeon Ice Lake,1.2
Compute Optimized,c6id.8xlarge,32,64,Intel Xeon Ice Lake,1.2
Compute Optimized,c6id.12xlarge,48,96,Intel Xeon Ice Lake,1.2
Compute Optimized,c6id.16xlarge,64,128,Intel Xeon Ice Lake,1.2
Compute Optimized,c6id.24xlarge,96,192,Intel Xeon Ice Lake,1.2
Compute Optimized,c6id.32xlarge,128,256,Intel Xeon Ice Lake,1.2
Compute Optimized,c6id.metal,128,256,Intel Xeon Ice Lake,1.2
Compute Optimized,c6in.large,2,4,Intel Xeon Ice Lake,0.9
Compute Optimized,c6in.xlarge,4,8,Intel Xeon Ice Lake,0.9
Compute Optimized,c6in.2xlarge,8,16,Intel Xeon Ice Lake,0.9
Compute Optimized,c6in.4xlarge,16,32,Intel Xeon Ice Lake,0.9
Compute Optimized,c6in.8xlarge,32,64,Intel Xeon Ice Lake,0.9
Compute Optimized,c6in.12xlarge,48,96,Intel Xeon Ice Lake,0.9
Compute Optimized,c6in.16xlarge,64,128,Intel Xeon Ice Lake,0.9
Compute Optimized,c6in.24xlarge,96,192,Intel Xeon Ice Lake,0.9
Compute Optimized,c6in.32xlarge,128,256,Intel Xeon Ice Lake,0.9
Compute Optimized,c6in.metal,128,256,Intel Xeon Ice Lake,0.9
Compute Optimized,c7a.medium,1,2,AMD EPYC 9R14,1.2
Compute Optimized,c7a.large,2,4,AMD EPYC 9R14,1.2
Compute Optimized,c7a.xlarge,4,8,AMD EPYC 9R14,1.2
Compute Optimized,c7a.2xlarge,8,16,AMD EPYC 9R14,1.2
Compute Optimized,c7a.4xlarge,16,32,AMD EPYC 9R14,1.2
Compute Optimized,c7a.8xlarge,32,64,AMD EPYC 9R14,1.2
Compute Optimized,c7a.12xlarge,48,96,AMD EPYC 9R14,1.2
Compute Optimized,c7a.16xlarge,64,128,AMD EPYC 9R14,1.2
Compute Optimized,c7a.24xlarge,96,192,AMD EPYC 9R14,1.2
Compute Optimized,c7a.32xlarge,128,256,AMD EPYC 9R14,1.2
Compute Optimized,c7a.48xlarge,192,384,AMD EPYC 9R14,1.2
Compute Optimized,c7a.metal-48xl,192,384,AMD EPYC 9R14,1.2
Compute Optimized,c7g.medium,1,2,AWS Graviton3 Processor,0.63
Compute Optimized,c7g.large,2,4,AWS Graviton3 Processor,0.63
Compute Optimized,c7g.xlarge,4,8,AWS Graviton3 Processor,0.63
Compute Optimized,c7g.2xlarge,8,16,AWS Graviton3 Processor,0.63
Compute Optimized,c7g.4xlarge,16,32,AWS Graviton3 Processor,0.63
Compute Optimized,c7g.8xlarge,32,64,AWS Graviton3 Processor,0.63
Compute Optimized,c7g.12xlarge,48,96,AWS Graviton3 Processor,0.63
Compute Optimized,c7g.16xlarge,64,128,AWS Graviton3 Processor,0.63
Compute Optimized,c7g.metal,64,128,AWS Graviton3 Processor,0.63
Compute Optimized,c7gd.medium,1,2,AWS Graviton3 Processor,0.8
Compute Optimized,c7gd.large,2,4,AWS Graviton3 Processor,0.8
Compute Optimized,c7gd.xlarge,4,8,AWS Graviton3 Processor,0.8
Compute Optimized,c7gd.2xlarge,8,16,AWS Graviton3 Processor,0.8
Compute Optimized,c7gd.4xlarge,16,32,AWS Graviton3 Processor,0.8
Compute Optimized,c7gd.8xlarge,32,64,AWS Graviton3 Processor,0.8
Compute Optimized,c7gd.12xlarge,48,96,AWS Graviton3 Processor,0.8
Compute Optimized,c7gd.16xlarge,64,128,AWS Graviton3 Processor,0.8
Compute Optimized,c7gd.metal,64,128,AWS Graviton3 Processor,
Compute Optimized,c7gn.medium,1,2,AWS Graviton3E Processor,0.63
Compute Optimized,c7gn.large,2,4,AWS Graviton3E Processor,0.63
Compute Optimized,c7gn.xlarge,4,8,AWS Graviton3E Processor,0.63
Compute Optimized,c7gn.2xlarge,8,16,AWS Graviton3E Processor,0.63
Compute Optimized,c7gn.4xlarge,16,32,AWS Graviton3E Processor,0.63
Compute Optimized,c7gn.8xlarge,32,64,AWS Graviton3E Processor,0.63
Compute Optimized,c7gn.12xlarge,48,96,AWS Graviton3E Processor,0.63
Compute Optimized,c7gn.16xlarge,64,128,AWS Graviton3E Processor,0.63
Compute Optimized,c7gn.metal,64,128,AWS Graviton3E Processor,
Compute Optimized,c7i.large,2,4,Intel Xeon Sapphire Rapids,1.4
Compute Optimized,c7i.xlarge,4,8,Intel Xeon Sapphire Rapids,1.4
Compute Optimized,c7i.2xlarge,8,16,Intel Xeon Sapphire Rapids,1.4
Compute Optimized,c7i.4xlarge,16,32,Intel Xeon Sapphire Rapids,1.4
Compute Optimized,c7i.8xlarge,32,64,Intel Xeon Sapphire Rapids,1.4
Compute Optimized,c7i.12xlarge,48,96,Intel Xeon Sapphire Rapids,1.4
Compute Optimized,c7i.16xlarge,64,128,Intel Xeon Sapphire Rapids,1.4
Compute Optimized,c7i.24xlarge,96,192,Intel Xeon Sapphire Rapids,1.4
Compute Optimized,c7i.48xlarge,192,384,Intel Xeon Sapphire Rapids,1.4
Compute Optimized,c7i.metal-24xl,96,192,Intel Xeon Sapphire Rapids,
Compute Optimized,c7i.metal-48xl,192,384,Intel Xeon Sapphire Rapids,
Compute Optimized,c7i-flex.large,2,4,Intel Xeon Sapphire Rapids,
Compute Optimized,c7i-flex.xlarge,4,8,Intel Xeon Sapphire Rapids,
Compute Optimized,c7i-flex.2xlarge,8,16,Intel Xeon Sapphire Rapids,
Compute Optimized,c7i-flex.4xlarge,16,32,Intel Xeon Sapphire Rapids,
Compute Optimized,c7i-flex.8xlarge,32,64,Intel Xeon Sapphire Rapids,
Compute Optimized,c7i-flex.12xlarge,48,96,Intel Xeon Sapphire Rapids,
Compute Optimized,c7i-flex.16xlarge,64,128,Intel Xeon Sapphire Rapids,
Compute Optimized,c8a.medium,1,2,AMD EPYC 9R45,
Compute Optimized,c8a.large,2,4,AMD EPYC 9R45,
Compute Optimized,c8a.xlarge,4,8,AMD EPYC 9R45,
Compute Optimized,c8a.2xlarge,8,16,AMD EPYC 9R45,
Compute Optimized,c8a.4xlarge,16,32,AMD EPYC 9R45,
Compute Optimized,c8a.8xlarge,32,64,AMD EPYC 9R45,
Compute Optimized,c8a.12xlarge,48,96,AMD EPYC 9R45,
Compute Optimized,c8a.16xlarge,64,128,AMD EPYC 9R45,
Compute Optimized,c8a.24xlarge,96,192,AMD EPYC 9R45,
Compute Optimized,c8a.48xlarge,192,384,AMD EPYC 9R45,
Compute Optimized,c8a.metal-24xl,96,192,AMD EPYC 9R45,
Compute Optimized,c8a.metal-48xl,192,384,AMD EPYC 9R45,
Compute Optimized,c8g.medium,1,2,AWS Graviton4 Processor,0.79
Compute Optimized,c8g.large,2,4,AWS Graviton4 Processor,0.79
Compute Optimized,c8g.xlarge,4,8,AWS Graviton4 Processor,0.79
Compute Optimized,c8g.2xlarge,8,16,AWS Graviton4 Processor,0.79
Compute Optimized,c8g.4xlarge,16,32,AWS Graviton4 Processor,0.79
Compute Optimized,c8g.8xlarge,32,64,AWS Graviton4 Processor,0.79
Compute Optimized,c8g.12xlarge,48,96,AWS Graviton4 Processor,0.79
Compute Optimized,c8g.16xlarge,64,128,AWS Graviton4 Processor,0.79
Compute Optimized,c8g.24xlarge,96,192,AWS Graviton4 Processor,0.79
Compute Optimized,c8g.48xlarge,192,384,AWS Graviton4 Processor,
Compute Optimized,c8g.metal-24xl,96,192,AWS Graviton4 Processor,0.79
Compute Optimized,c8g.metal-48xl,192,384,AWS Graviton4 Processor,
Compute Optimized,c8gb.medium,1,2,AWS Graviton4 Processor,
Compute Optimized,c8gb.large,2,4,AWS Graviton4 Processor,
Compute Optimized,c8gb.xlarge,4,8,AWS Graviton4 Processor,
Compute Optimized,c8gb.2xlarge,8,16,AWS Graviton4 Processor,
Compute Optimized,c8gb.4xlarge,16,32,AWS Graviton4 Processor,
Compute Optimized,c8gb.8xlarge,32,64,AWS Graviton4 Processor,
Compute Optimized,c8gb.12xlarge,48,96,AWS Graviton4 Processor,
Compute Optimized,c8gb.16xlarge,64,128,AWS Graviton4 Processor,
Compute Optimized,c8gb.24xlarge,96,192,AWS Graviton4 Processor,
Compute Optimized,c8gb.48xlarge,192,384,AWS Graviton4 Processor,
Compute Optimized,c8gb.metal-24xl,96,192,AWS Graviton4 Processor,
Compute Optimized,c8gb.metal-48xl,192,384,AWS Graviton4 Processor,
Compute Optimized,c8gd.medium,1,2,AWS Graviton4 Processor,
Compute Optimized,c8gd.large,2,4,AWS Graviton4 Processor,
Compute Optimized,c8gd.xlarge,4,8,AWS Graviton4 Processor,
Compute Optimized,c8gd.2xlarge,8,16,AWS Graviton4 Processor,
Compute Optimized,c8gd.4xlarge,16,32,AWS Graviton4 Processor,
Compute Optimized,c8gd.8xlarge,32,64,AWS Graviton4 Processor,
Compute Optimized,c8gd.12xlarge,48,96,AWS Graviton4 Processor,
Compute Optimized,c8gd.16xlarge,64,128,AWS Graviton4 Processor,
Compute Optimized,c8gd.24xlarge,96,192,AWS Graviton4 Processor,
Compute Optimized,c8gd.48xlarge,192,384,AWS Graviton4 Processor,
Compute Optimized,c8gd.metal-24xl,96,192,AWS Graviton4 Processor,
Compute Optimized,c8gd.metal-48xl,192,384,AWS Graviton4 Processor,
Compute Optimized,c8gn.medium,1,2,AWS Graviton4 Processor,
Compute Optimized,c8gn.large,2,4,AWS Graviton4 Processor,
Compute Optimized,c8gn.xlarge,4,8,AWS Graviton4 Processor,
Compute Optimized,c8gn.2xlarge,8,16,AWS Graviton4 Processor,
Compute Optimized,c8gn.4xlarge,16,32,AWS Graviton4 Processor,
Compute Optimized,c8gn.8xlarge,32,64,AWS Graviton4 Processor,
Compute Optimized,c8gn.12xlarge,48,96,AWS Graviton4 Processor,
Compute Optimized,c8gn.16xlarge,64,128,AWS Graviton4 Processor,
Compute Optimized,c8gn.24xlarge,96,192,AWS Graviton4 Processor,
Compute Optimized,c8gn.48xlarge,192,384,AWS Graviton4 Processor,
Compute Optimized,c8gn.metal-24xl,96,192,AWS Graviton4 Processor,
Compute Optimized,c8gn.metal-48xl,192,384,AWS Graviton4 Processor,
Compute Optimized,c8i.large,2,4,Intel Xeon Granite Rapids,
Compute Optimized,c8i.xlarge,4,8,Intel Xeon Granite Rapids,
Compute Optimized,c8i.2xlarge,8,16,Intel Xeon Granite Rapids,
Compute Optimized,c8i.4xlarge,16,32,Intel Xeon Granite Rapids,
Compute Optimized,c8i.8xlarge,32,64,Intel Xeon Granite Rapids,
Compute Optimized,c8i.12xlarge,48,96,Intel Xeon Granite Rapids,
Compute Optimized,c8i.16xlarge,64,128,Intel Xeon Granite Rapids,
Compute Optimized,c8i.24xlarge,96,192,Intel Xeon Granite Rapids,
Compute Optimized,c8i.32xlarge,128,256,Intel Xeon Granite Rapids,
Compute Optimized,c8i.48xlarge,192,384,Intel Xeon Granite Rapids,
Compute Optimized,c8i.96xlarge,384,768,Intel Xeon Granite Rapids,
Compute Optimized,c8i.metal-48xl,192,384,Intel Xeon Granite Rapids,
Compute Optimized,c8i.metal-96xl,384,768,Intel Xeon Granite Rapids,
Compute Optimized,c8id.large,2,4,Intel Xeon Granite Rapids,
Compute Optimized,c8id.xlarge,4,8,Intel Xeon Granite Rapids,
Compute Optimized,c8id.2xlarge,8,16,Intel Xeon Granite Rapids,
Compute Optimized,c8id.4xlarge,16,32,Intel Xeon Granite Rapids,
Compute Optimized,c8id.8xlarge,32,64,Intel Xeon Granite Rapids,
Compute Optimized,c8id.12xlarge,48,96,Intel Xeon Granite Rapids,
Compute Optimized,c8id.16xlarge,64,128,Intel Xeon Granite Rapids,
Compute Optimized,c8id.24xlarge,96,192,Intel Xeon Granite Rapids,
Compute Optimized,c8id.32xlarge,128,256,Intel Xeon Granite Rapids,
Compute Optimized,c8id.48xlarge,192,384,Intel Xeon Granite Rapids,
Compute Optimized,c8id.96xlarge,384,768,Intel Xeon Granite Rapids,
Compute Optimized,c8id.metal-48xl,192,384,Intel Xeon Granite Rapids,
Compute Optimized,c8id.metal-96xl,384,768,Intel Xeon Granite Rapids,
Compute Optimized,c8i-flex.large,2,4,Intel Xeon Granite Rapids,
Compute Optimized,c8i-flex.xlarge,4,8,Intel Xeon Granite Rapids,
Compute Optimized,c8i-flex.2xlarge,8,16,Intel Xeon Granite Rapids,
Compute Optimized,c8i-flex.4xlarge,16,32,Intel Xeon Granite Rapids,
Compute Optimized,c8i-flex.8xlarge,32,64,Intel Xeon Granite Rapids,
Compute Optimized,c8i-flex.12xlarge,48,96,Intel Xeon Granite Rapids,
Compute Optimized,c8i-flex.16xlarge,64,128,Intel Xeon Granite Rapids,
Memory Optimized,r5.large,2,16,Intel Xeon Platinum 8175M,1.9
Memory Optimized,r5.xlarge,4,32,Intel Xeon Platinum 8175M,1.9
Memory Optimized,r5.2xlarge,8,64,Intel Xeon Platinum 8175M,1.9
Memory Optimized,r5.4xlarge,16,128,Intel Xeon Platinum 8175M,1.9
Memory Optimized,r5.8xlarge,32,256,Intel Xeon Platinum 8175M,1.9
Memory Optimized,r5.12xlarge,48,384,Intel Xeon Platinum 8175M,1.9
Memory Optimized,r5.16xlarge,64,512,Intel Xeon Platinum 8175M,1.9
Memory Optimized,r5.24xlarge,96,768,Intel Xeon Platinum 8175M,1.9
Memory Optimized,r5.metal,96,768,Intel Xeon Platinum 8175M,1.9
Memory Optimized,r5a.large,2,16,AMD EPYC 7571,1.9
Memory Optimized,r5a.xlarge,4,32,AMD EPYC 7571,1.9
Memory Optimized,r5a.2xlarge,8,64,AMD EPYC 7571,1.9
Memory Optimized,r5a.4xlarge,16,128,AMD EPYC 7571,1.9
Memory Optimized,r5a.8xlarge,32,256,AMD EPYC 7571,1.9
Memory Optimized,r5a.12xlarge,48,384,AMD EPYC 7571,1.9
Memory Optimized,r5a.16xlarge,64,512,AMD EPYC 7571,1.9
Memory Optimized,r5a.24xlarge,96,768,AMD EPYC 7571,1.9
Memory Optimized,r5ad.large,2,16,AMD EPYC 7571,2.1
Memory Optimized,r5ad.xlarge,4,32,AMD EPYC 7571,2.1
Memory Optimized,r5ad.2xlarge,8,64,AMD EPYC 7571,2.1
Memory Optimized,r5ad.4xlarge,16,128,AMD EPYC 7571,2.1
Memory Optimized,r5ad.8xlarge,32,256,AMD EPYC 7571,2.1
Memory Optimized,r5ad.12xlarge,48,384,AMD EPYC 7571,2.1
Memory Optimized,r5ad.16xlarge,64,512,AMD EPYC 7571,2.1
Memory Optimized,r5ad.24xlarge,96,768,AMD EPYC 7571,2.1
Memory Optimized,r5b.large,2,16,Intel Xeon Platinum 8259CL,1.9
Memory Optimized,r5b.xlarge,4,32,Intel Xeon Platinum 8259CL,1.9
Memory Optimized,r5b.2xlarge,8,64,Intel Xeon Platinum 8259CL,1.9
Memory Optimized,r5b.4xlarge,16,128,Intel Xeon Platinum 8259CL,1.9
Memory Optimized,r5b.8xlarge,32,256,Intel Xeon Platinum 8259CL,1.9
Memory Optimized,r5b.12xlarge,48,384,Intel Xeon Platinum 8259CL,1.9
Memory Optimized,r5b.16xlarge,64,512,Intel Xeon Platinum 8259CL,1.9
Memory Optimized,r5b.24xlarge,96,768,Intel Xeon Platinum 8259CL,1.9
Memory Optimized,r5b.metal,96,768,Intel Xeon Platinum 8259CL,1.9
Memory Optimized,r5d.large,2,16,Intel Xeon Platinum 8175M,2.1
Memory Optimized,r5d.xlarge,4,32,Intel Xeon Platinum 8175M,2.1
Memory Optimized,r5d.2xlarge,8,64,Intel Xeon Platinum 8175M,2.1
Memory Optimized,r5d.4xlarge,16,128,Intel Xeon Platinum 8175M,2.1
