Instance Type,Instance vCPU,Instance Memory,Platform,Platform Embedded Emissions (kgCo2eq),Platform Embedded Emissions (mtCo2eq),Manufacturer,Microarchitecture,CPU Name
c4a-standard-1,1,4,c4a-standard,37000,37,Google,,Google Axion
c4a-standard-2,2,8,c4a-standard,37000,37,Google,,Google Axion
c4a-standard-4,4,16,c4a-standard,37000,37,Google,,Google Axion
c4a-standard-8,8,32,c4a-standard,37000,37,Google,,Google Axion
c4a-standard-16,16,64,c4a-standard,37000,37,Google,,Google Axion
c4a-standard-32,32,128,c4a-standard,37000,37,Google,,Google Axion
c4a-standard-48,48,192,c4a-standard,37000,37,Google,,Google Axion
c4a-standard-64,64,256,c4a-standard,37000,37,Google,,Google Axion
c4a-standard-72,72,288,c4a-standard,37000,37,Google,,Google Axion
c4a-highcpu-1,1,2,c4a-highcpu,10000,10,Google,,Google Axion
c4a-highcpu-2,2,4,c4a-highcpu,10000,10,Google,,Google Axion
c4a-highcpu-4,4,8,c4a-highcpu,10000,10,Google,,Google Axion
c4a-highcpu-8,8,16,c4a-highcpu,10000,10,Google,,Google Axion
c4a-highcpu-16,16,32,c4a-highcpu,10000,10,Google,,Google Axion
c4a-highcpu-32,32,64,c4a-highcpu,10000,10,Google,,Google Axion
c4a-highcpu-48,48,96,c4a-highcpu,10000,10,Google,,Google Axion
c4a-highcpu-64,64,128,c4a-highcpu,10000,10,Google,,Google Axion
c4a-highcpu-72,72,144,c4a-highcpu,10000,10,Google,,Google Axion
c4a-highmem-1,1,8,c4a-highmem,150000,150,Google,,Google Axion
c4a-highmem-2,2,16,c4a-highmem,150000,150,Google,,Google Axion
c4a-highmem-4,4,32,c4a-highmem,150000,150,Google,,Google Axion
c4a-highmem-8,8,64,c4a-highmem,150000,150,Google,,Google Axion
c4a-highmem-16,16,128,c4a-highmem,150000,150,Google,,Google Axion
c4a-highmem-32,32,256,c4a-highmem,150000,150,Google,,Google Axion
c4a-highmem-48,48,384,c4a-highmem,150000,150,Google,,Google Axion
c4a-highmem-64,64,512,c4a-highmem,150000,150,Google,,Google Axion
c4a-highmem-72,72,576,c4a-highmem,150000,150,Google,,Google Axion
c4a-standard-4-lssd,4,16,c4a-standard-lssd,38000,38,Google,,Google Axion
c4a-standard-8-lssd,8,32,c4a-standard-lssd,38000,38,Google,,Google Axion
c4a-standard-16-lssd,16,64,c4a-standard-lssd,38000,38,Google,,Google Axion
c4a-standard-32-lssd,32,128,c4a-standard-lssd,38000,38,Google,,Google Axion
c4a-standard-48-lssd,48,192,c4a-standard-lssd,38000,38,Google,,Google Axion
c4a-standard-64-lssd,64,256,c4a-standard-lssd,38000,38,Google,,Google Axion
c4a-standard-72-lssd,72,288,c4a-standard-lssd,38000,38,Google,,Google Axion
c4a-highmem-4-lssd,4,32,c4a-highmem-lssd,150000,150,Google,,Google Axion
c4a-highmem-8-lssd,8,64,c4a-highmem-lssd,150000,150,Google,,Google Axion
c4a-highmem-16-lssd,16,128,c4a-highmem-lssd,150000,150,Google,,Google Axion
c4a-highmem-32-lssd,32,256,c4a-highmem-lssd,150000,150,Google,,Google Axion
c4a-highmem-48-lssd,48,384,c4a-highmem-lssd,150000,150,Google,,Google Axion
c4a-highmem-64-lssd,64,512,c4a-highmem-lssd,150000,150,Google,,Google Axion
c4a-highmem-72-lssd,72,576,c4a-highmem-lssd,150000,150,Google,,Google Axion
c4-standard-2,2,7,c4-standard,230000,230,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-standard-4,4,15,c4-standard,230000,230,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-standard-8,8,30,c4-standard,230000,230,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-standard-16,16,60,c4-standard,230000,230,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-standard-32,32,120,c4-standard,230000,230,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-standard-48,48,180,c4-standard,230000,230,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-standard-96,96,360,c4-standard,230000,230,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-standard-192,192,720,c4-standard,230000,230,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-highcpu-2,2,4,c4-highcpu,66000,66,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-highcpu-4,4,8,c4-highcpu,66000,66,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-highcpu-8,8,16,c4-highcpu,66000,66,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-highcpu-16,16,32,c4-highcpu,66000,66,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-highcpu-32,32,64,c4-highcpu,66000,66,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-highcpu-48,48,96,c4-highcpu,66000,66,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-highcpu-96,96,192,c4-highcpu,66000,66,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-highcpu-192,192,384,c4-highcpu,66000,66,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-highmem-2,2,15,c4-highmem,1000000,1000,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-highmem-4,4,31,c4-highmem,1000000,1000,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-highmem-8,8,62,c4-highmem,1000000,1000,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-highmem-16,16,124,c4-highmem,1000000,1000,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-highmem-32,32,248,c4-highmem,1000000,1000,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-highmem-48,48,372,c4-highmem,1000000,1000,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-highmem-96,96,744,c4-highmem,1000000,1000,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c4-highmem-192,192,1488,c4-highmem,1000000,1000,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-standard-2,2,8,n4-standard,46000,46,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-standard-4,4,16,n4-standard,46000,46,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-standard-8,8,32,n4-standard,46000,46,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-standard-16,16,64,n4-standard,46000,46,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-standard-32,32,128,n4-standard,46000,46,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-standard-48,48,192,n4-standard,46000,46,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-standard-64,64,256,n4-standard,46000,46,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-standard-80,80,320,n4-standard,46000,46,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-highcpu-2,2,4,n4-highcpu,12000,12,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-highcpu-4,4,8,n4-highcpu,12000,12,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-highcpu-8,8,16,n4-highcpu,12000,12,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-highcpu-16,16,32,n4-highcpu,12000,12,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-highcpu-32,32,64,n4-highcpu,12000,12,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-highcpu-48,48,96,n4-highcpu,12000,12,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-highcpu-64,64,128,n4-highcpu,12000,12,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-highcpu-80,80,160,n4-highcpu,12000,12,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-highmem-2,2,16,n4-highmem,180000,180,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-highmem-4,4,32,n4-highmem,180000,180,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-highmem-8,8,64,n4-highmem,180000,180,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-highmem-16,16,128,n4-highmem,180000,180,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-highmem-32,32,256,n4-highmem,180000,180,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-highmem-48,48,384,n4-highmem,180000,180,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-highmem-64,64,512,n4-highmem,180000,180,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
n4-highmem-80,80,640,n4-highmem,180000,180,Intel,Emerald Rapids,Intel Xeon Platinum 8581C
c3d-standard-4,4,16,c3d-standard,900000,900,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-standard-8,8,32,c3d-standard,900000,900,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-standard-16,16,64,c3d-standard,900000,900,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-standard-30,30,120,c3d-standard,900000,900,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-standard-60,60,240,c3d-standard,900000,900,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-standard-90,90,360,c3d-standard,900000,900,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-standard-180,180,720,c3d-standard,900000,900,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-standard-360,360,1440,c3d-standard,900000,900,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highcpu-4,4,8,c3d-highcpu,220000,220,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highcpu-8,8,16,c3d-highcpu,220000,220,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highcpu-16,16,32,c3d-highcpu,220000,220,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highcpu-30,30,59,c3d-highcpu,220000,220,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highcpu-60,60,118,c3d-highcpu,220000,220,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highcpu-90,90,177,c3d-highcpu,220000,220,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highcpu-180,180,354,c3d-highcpu,220000,220,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highcpu-360,360,708,c3d-highcpu,220000,220,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highmem-4,4,32,c3d-highmem,3700000,3700,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highmem-8,8,64,c3d-highmem,3700000,3700,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highmem-16,16,128,c3d-highmem,3700000,3700,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highmem-30,30,240,c3d-highmem,3700000,3700,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highmem-60,60,480,c3d-highmem,3700000,3700,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highmem-90,90,720,c3d-highmem,3700000,3700,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highmem-180,180,1440,c3d-highmem,3700000,3700,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highmem-360,360,2880,c3d-highmem,3700000,3700,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-standard-8-lssd,8,32,c3d-standard,900000,900,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-standard-16-lssd,16,64,c3d-standard,900000,900,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-standard-30-lssd,30,120,c3d-standard,900000,900,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-standard-60-lssd,60,240,c3d-standard,900000,900,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-standard-90-lssd,90,360,c3d-standard,900000,900,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-standard-180-lssd,180,720,c3d-standard,900000,900,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-standard-360-lssd,360,1440,c3d-standard,900000,900,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highmem-8-lssd,8,64,c3d-highmem,3700000,3700,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highmem-16-lssd,16,128,c3d-highmem,3700000,3700,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highmem-30-lssd,30,240,c3d-highmem,3700000,3700,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highmem-60-lssd,60,480,c3d-highmem,3700000,3700,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highmem-90-lssd,90,720,c3d-highmem,3700000,3700,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highmem-180-lssd,180,1440,c3d-highmem,3700000,3700,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3d-highmem-360-lssd,360,2880,c3d-highmem,3700000,3700,AMD,EPYC 4th Gen,AMD EPYC 9B14
c3-standard-4,4,16,c3-standard,220000,220,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-standard-8,8,32,c3-standard,220000,220,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-standard-22,22,88,c3-standard,220000,220,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-standard-44,44,176,c3-standard,220000,220,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-standard-88,88,352,c3-standard,220000,220,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-standard-176,176,704,c3-standard,220000,220,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-standard-192-metal,192,768,c3-standard-192-metal,260000,260,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-highcpu-4,4,8,c3-highcpu,56000,56,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-highcpu-8,8,16,c3-highcpu,56000,56,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-highcpu-22,22,44,c3-highcpu,56000,56,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-highcpu-44,44,88,c3-highcpu,56000,56,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-highcpu-88,88,176,c3-highcpu,56000,56,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-highcpu-176,176,352,c3-highcpu,56000,56,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-highcpu-192-metal,192,512,c3-highcpu-192-metal,120000,120,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-highmem-4,4,32,c3-highmem,900000,900,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-highmem-8,8,64,c3-highmem,900000,900,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-highmem-22,22,176,c3-highmem,900000,900,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-highmem-44,44,352,c3-highmem,900000,900,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-highmem-88,88,704,c3-highmem,900000,900,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-highmem-176,176,1408,c3-highmem,900000,900,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-highmem-192-metal,192,1536,c3-highmem-192-metal,1000000,1000,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-standard-4-lssd,4,16,c3-standard,220000,220,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-standard-8-lssd,8,32,c3-standard,220000,220,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-standard-22-lssd,22,88,c3-standard,220000,220,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-standard-44-lssd,44,176,c3-standard,220000,220,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-standard-88-lssd,88,352,c3-standard,220000,220,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
c3-standard-176-lssd,176,704,c3-standard,220000,220,Intel,Sapphire Rapids,Intel Xeon Platinum 8481C
n2d-standard-2,2,8,n2d-standard,360000,360,AMD,EPYC 2nd Gen,AMD EPYC 7B12
n2d-standard-4,4,16,n2d-standard,360000,360,AMD,EPYC 2nd Gen,AMD EPYC 7B12
n2d-standard-8,8,32,n2d-standard,360000,360,AMD,EPYC 2nd Gen,AMD EPYC 7B12
n2d-standard-16,16,64,n2d-standard,360000,360,AMD,EPYC 2nd Gen,AMD EPYC 7B12
n2d-standard-32,32,128,n2d-standard,360000,360,AMD,EPYC 2nd Gen,AMD EPYC 7B12
n2d-standard-48,48,192,n2d-standard,360000,360,AMD,EPYC 2nd Gen,AMD EPYC 7B12
n2d-standard-64,64,256,n2d-standard,360000,360,AMD,EPYC 2nd Gen,AMD EPYC 7B12
n2d-standard-80,80,320,n2d-standard,360000,360,AMD,EPYC 2nd Gen,AMD EPYC 7B12
n2d-standard-96,96,384,n2d-standard,360000,360,AMD,EPYC 2nd Gen,AMD EPYC 7B12
n2d-standard-128,128,512,n2d-standard,360000,360,AMD,EPYC 2nd Gen,AMD EPYC 7B12
n2d-standard-224,224,896,n2d-standard,360000,360,AMD,EPYC 2nd Gen,AMD EPYC 7B12
n2d-highmem-2,2,16,n2d-highmem,23000,23,AMD,EPYC 2nd Gen,AMD EPYC 7B12
n2d-highmem-4,4,32,n2d-highmem,23000,23,AMD,EPYC 2nd Gen,AMD EPYC 7B12
n2d-highmem-8,8,64,n2d-highmem,23000,23,AMD,EPYC 2nd Gen,AMD EPYC 7B12
n2d-highmem-16,16,128,n2d-highmem,23000,23,AMD,EPYC 2nd Gen,AMD EPYC 7B12
n2d-highmem-32,32,256,n2d-highmem,23000,23,AMD,EPYC 2nd Gen,AMD EPYC 7B12
n2d-highmem-48,48,384,n2d-highmem,23000,23,AMD,EPYC 2nd Gen,AMD EPYC 7B12
n2d-highmem-64,64,512,n2d-highmem,23000,23,AMD,EPYC 2nd Gen,AMD EPYC 7B12
